direction,code,network,links,color,name,physical_mode,headsign,label,equipments,text_color,trip_short_name,commercial_mode,description,links,arrival_date_time,additional_informations,departure_date_time,base_arrival_date_time,base_departure_date_time,data_freshness,delay,is_delayed
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8606,Brest - Paris Montparnasse Hall 1 &2,[],,8606,TGV INOUI,,[],2023-01-05 09:29:00,[],20230105T093500,2023-01-05 09:29:00,20230105T093500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': '3cbcd40b-b542-49e1-b232-74e2a188ae96', 'rel': 'disruptions', 'templated': False}]",,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8706,Paris Montparnasse Hall 1 &2 - Quimper,[],,8706,TGV INOUI,,[],2023-01-05 09:30:00,[],20230105T093500,2023-01-05 09:25:00,20230105T093500,realtime,0 days 00:05:00,True
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857704,Le Croisic - Nantes - Rennes Via Sablé,[],,857704,TER,,[],2023-01-05 10:04:00,[],20230105T100400,2023-01-05 10:04:00,20230105T100400,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Marseille Saint-Charles,Train grande vitesse,5380,Rennes - Marseille Saint-Charles,[],,5380,TGV INOUI,,[],2023-01-05 10:30:00,[],20230105T103000,2023-01-05 10:30:00,20230105T103000,base_schedule,0 days 00:00:00,False
Quimper (Quimper),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': 'e2fb0baf-d00c-4af8-a286-4506d2a05745', 'rel': 'disruptions', 'templated': False}]",,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8707,Paris Montparnasse Hall 1 &2 - Quimper,[],,8707,TGV INOUI,,[],2023-01-05 10:30:00,[],20230105T103400,2023-01-05 10:25:00,20230105T102900,realtime,0 days 00:05:00,True
Rennes (Rennes),,TGV INOUI,[],,Lille Europe - Rennes,Train grande vitesse,5210,Lille Europe - Rennes,[],,5210,TGV INOUI,,[],2023-01-05 11:19:00,[],20230105T111900,2023-01-05 11:19:00,20230105T111900,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8710,Paris Montparnasse Hall 1 &2 - Quimper,[],,8710,TGV INOUI,,[],2023-01-05 11:25:00,[],20230105T113500,2023-01-05 11:25:00,20230105T113500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8610,Brest - Paris Montparnasse Hall 1 &2,[],,8610,TGV INOUI,,[],2023-01-05 11:29:00,[],20230105T113500,2023-01-05 11:29:00,20230105T113500,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': 'd8b39695-ed6f-4bee-a590-dc2704ae4e3c', 'rel': 'disruptions', 'templated': False}]",,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8609,Brest - Paris Montparnasse Hall 1 &2,[],,8609,TGV INOUI,,[],2023-01-05 11:30:00,[],20230105T113500,2023-01-05 11:25:00,20230105T113000,realtime,0 days 00:05:00,True
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857708,Le Croisic - Nantes - Rennes Via Sablé,[],,857708,TER,,[],2023-01-05 12:01:00,[],20230105T120100,2023-01-05 12:01:00,20230105T120100,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': 'd271844e-3843-4806-b5f2-f2f6ed7b3388', 'rel': 'disruptions', 'templated': False}]",,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8615,Brest - Paris Montparnasse Hall 1 &2,[],,8615,TGV INOUI,,[],2023-01-05 12:30:00,[],20230105T123700,2023-01-05 12:25:00,20230105T123200,realtime,0 days 00:05:00,True
Quimper (Quimper),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': '130dd753-d617-4ac4-b52e-aa9173dca957', 'rel': 'disruptions', 'templated': False}]",,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8715,Paris Montparnasse Hall 1 &2 - Quimper,[],,8715,TGV INOUI,,[],2023-01-05 12:30:00,[],20230105T123400,2023-01-05 12:25:00,20230105T122900,realtime,0 days 00:05:00,True
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858350,Nantes - Rennes Via Redon,[],,858350,TER,,[],2023-01-05 13:21:00,[],20230105T132100,2023-01-05 13:21:00,20230105T132100,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8720,Paris Montparnasse Hall 1 &2 - Quimper,[],,8720,TGV INOUI,,[],2023-01-05 13:25:00,[],20230105T133500,2023-01-05 13:25:00,20230105T133500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,OUIGO,[],,Paris Montparnasse Hall 1 &2 - Brest,Train grande vitesse,7612,Paris Montparnasse Hall 1 &2 - Brest,[],,7612,OUIGO,,[],2023-01-05 13:26:00,[],20230105T133100,2023-01-05 13:26:00,20230105T133100,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8084,Rennes - Paris Montparnasse Hall 1 &2,[],,8084,TGV INOUI,,[],2023-01-05 13:29:00,[],20230105T133500,2023-01-05 13:29:00,20230105T133500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,"[{'internal': True, 'type': 'disruption', 'id': '20583a6c-820b-4087-9d67-20005b1c9b3c', 'rel': 'disruptions', 'templated': False}]",,Le Mans - Laval - Rennes,Train grande vitesse,857665,Le Mans - Laval - Rennes,[],,857665,TER,,[],2023-01-05 14:07:00,[],20230105T140700,2023-01-05 13:57:00,20230105T135700,realtime,0 days 00:10:00,True
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857712,Le Croisic - Nantes - Rennes Via Sablé,[],,857712,TER,,[],2023-01-05 14:08:00,[],20230105T140800,2023-01-05 14:08:00,20230105T140800,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,"[{'internal': True, 'type': 'disruption', 'id': 'bbb68ae6-a405-4837-98b6-3b3ce5af233f', 'rel': 'disruptions', 'templated': False}]",,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8619,Brest - Paris Montparnasse Hall 1 &2,[],,8619,TGV INOUI,,[],2023-01-05 14:30:00,[],20230105T143400,2023-01-05 14:25:00,20230105T142900,realtime,0 days 00:05:00,True
Quimper (Quimper),,OUIGO,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,7615,Paris Montparnasse Hall 1 &2 - Quimper,[],,7615,OUIGO,,[],2023-01-05 14:43:00,[],20230105T144700,2023-01-05 14:43:00,20230105T144700,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Strasbourg,Train grande vitesse,5470,Rennes - Strasbourg,[],,5470,TGV INOUI,,[],2023-01-05 14:48:00,[],20230105T144800,2023-01-05 14:48:00,20230105T144800,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858356,Nantes - Rennes Via Redon,[],,858356,TER,,[],2023-01-05 15:21:00,[],20230105T152100,2023-01-05 15:21:00,20230105T152100,base_schedule,0 days 00:00:00,False
Saint-Malo (Saint-Malo),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8087,Rennes - Paris Montparnasse Hall 1 &2,[],,8087,TGV INOUI,,[],2023-01-05 15:25:00,[],20230105T153200,2023-01-05 15:25:00,20230105T153200,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8722,Paris Montparnasse Hall 1 &2 - Quimper,[],,8722,TGV INOUI,,[],2023-01-05 15:25:00,[],20230105T153500,2023-01-05 15:25:00,20230105T153500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8622,Brest - Paris Montparnasse Hall 1 &2,[],,8622,TGV INOUI,,[],2023-01-05 15:29:00,[],20230105T153500,2023-01-05 15:29:00,20230105T153500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Marseille Saint-Charles,Train grande vitesse,5382,Rennes - Marseille Saint-Charles,[],,5382,TGV INOUI,,[],2023-01-05 15:41:00,[],20230105T154100,2023-01-05 15:41:00,20230105T154100,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857716,Le Croisic - Nantes - Rennes Via Sablé,[],,857716,TER,,[],2023-01-05 16:01:00,[],20230105T160100,2023-01-05 16:01:00,20230105T160100,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8623,Brest - Paris Montparnasse Hall 1 &2,[],,8623,TGV INOUI,,[],2023-01-05 16:25:00,[],20230105T163200,2023-01-05 16:25:00,20230105T163200,base_schedule,0 days 00:00:00,False
Quimper (Quimper),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8723,Paris Montparnasse Hall 1 &2 - Quimper,[],,8723,TGV INOUI,,[],2023-01-05 16:25:00,[],20230105T162900,2023-01-05 16:25:00,20230105T162900,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8630,Brest - Paris Montparnasse Hall 1 &2,[],,8630,TGV INOUI,,[],2023-01-05 16:29:00,[],20230105T163500,2023-01-05 16:29:00,20230105T163500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858374,Nantes - Rennes Via Redon,[],,858374,TER,,[],2023-01-05 17:21:00,[],20230105T172100,2023-01-05 17:21:00,20230105T172100,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8730,Paris Montparnasse Hall 1 &2 - Quimper,[],,8730,TGV INOUI,,[],2023-01-05 17:25:00,[],20230105T173500,2023-01-05 17:25:00,20230105T173500,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8634,Brest - Paris Montparnasse Hall 1 &2,[],,8634,TGV INOUI,,[],2023-01-05 17:29:00,[],20230105T173500,2023-01-05 17:29:00,20230105T173500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857720,Le Croisic - Nantes - Rennes Via Sablé,[],,857720,TER,,[],2023-01-05 18:01:00,[],20230105T180100,2023-01-05 18:01:00,20230105T180100,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858382,Nantes - Rennes Via Redon,[],,858382,TER,,[],2023-01-05 18:21:00,[],20230105T182100,2023-01-05 18:21:00,20230105T182100,base_schedule,0 days 00:00:00,False
Quimper (Quimper),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8729,Paris Montparnasse Hall 1 &2 - Quimper,[],,8729,TGV INOUI,,[],2023-01-05 18:25:00,[],20230105T182900,2023-01-05 18:25:00,20230105T182900,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8629,Brest - Paris Montparnasse Hall 1 &2,[],,8629,TGV INOUI,,[],2023-01-05 18:25:00,[],20230105T183200,2023-01-05 18:25:00,20230105T183200,base_schedule,0 days 00:00:00,False
